,PLAN,AVANCE_CARRERA,ACCESO,SUBACCESO,CONVOCATORIA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PBM_CALCULADO,ESTRATO,MUNICIPIO_RESIDENCIA,PROVINCIA_NACIMIENTO,MUNICIPIO_NACIMIENTO,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
565,GEOGRAFÍA,61.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-2S,NUMERO DE CEDULA,HOMBRE,27,8.0,4.2,2,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,
566,GEOGRAFÍA,61.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-2S,NUMERO DE CEDULA,HOMBRE,27,8.0,4.2,2,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,
567,BIOLOGÍA,58.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-2S,NUMERO DE CEDULA,MUJER,21,8.0,3.9,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
568,INGENIERÍA MECATRÓNICA,36.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-2S,NUMERO DE CEDULA,HOMBRE,24,7.0,3.6,2,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,
569,ESTADÍSTICA,41.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-2S,NUMERO DE CEDULA,HOMBRE,20,8.0,3.5,1,1,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,409.23
570,ESTADÍSTICA,23.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,21,6.0,3.2,3,1,,CESAR,PAILITAS,COLOMBIA,NO,NO,Plantel Oficial,316.39
571,GESTIÓN CULTURAL Y COMUNICATIVA,40.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,22,6.0,4.3,1,1,LA PAZ,CÓRDOBA,BUENAVISTA,COLOMBIA,NO,NO,Plantel Oficial,381.21
572,BIOLOGÍA,38.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,21,6.0,4.4,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,473.64
573,BIOLOGÍA,35.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,22,6.0,4.2,16,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,560.68
574,INGENIERÍA BIOLÓGICA,30.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,21,6.0,3.7,6,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,464.2
575,GEOGRAFÍA,46.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,21,6.0,4.1,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,409.27
576,GESTIÓN CULTURAL Y COMUNICATIVA,36.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,20,6.0,4.2,37,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,469.45
577,ESTADÍSTICA,39.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,TARJETA IDENTIDAD,MUJER,20,6.0,4.3,5,2,,LA GUAJIRA,MAICAO,COLOMBIA,NO,NO,Plantel Oficial,496.27
578,INGENIERÍA MECATRÓNICA,31.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,19,6.0,4.4,4,1,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,506.02
579,GESTIÓN CULTURAL Y COMUNICATIVA,37.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,21,6.0,4.3,4,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,461.82
580,BIOLOGÍA,44.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,4.2,1,1,,CESAR,PUEBLO BELLO,COLOMBIA,NO,NO,Plantel Oficial,471.78
581,GESTIÓN CULTURAL Y COMUNICATIVA,34.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,26,6.0,4.3,7,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,476.98
582,BIOLOGÍA,57.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,25,6.0,4.3,6,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,454.19
583,ESTADÍSTICA,40.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,19,6.0,3.9,2,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,568.35
584,BIOLOGÍA,43.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,HOMBRE,20,6.0,4.2,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,530.29
585,GESTIÓN CULTURAL Y COMUNICATIVA,34.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,TARJETA IDENTIDAD,MUJER,20,6.0,3.7,38,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,463.0
586,GEOGRAFÍA,42.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2021-2S,NUMERO DE CEDULA,MUJER,21,6.0,3.8,1,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Nocturno,303.93
587,INGENIERÍA BIOLÓGICA,19.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,18,4.0,4.0,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,506.21
588,GEOGRAFÍA,22.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,4.0,6,2,VALLEDUPAR,BOLÍVAR,RÍO VIEJO,COLOMBIA,NO,NO,Plantel Oficial,317.351
589,GESTIÓN CULTURAL Y COMUNICATIVA,15.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,21,4.0,3.5,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,419.368
590,INGENIERÍA MECATRÓNICA,20.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,3.9,3,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,570.324
591,INGENIERÍA BIOLÓGICA,17.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,TARJETA IDENTIDAD,HOMBRE,18,4.0,3.9,16,2,,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,548.96
592,GESTIÓN CULTURAL Y COMUNICATIVA,21.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,21,4.0,4.2,3,1,VALLEDUPAR,ATLÁNTICO,BARRANQUILLA,COLOMBIA,NO,NO,Plantel Oficial,505.323
593,GEOGRAFÍA,24.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,4.1,1,1,,SANTANDER,BUCARAMANGA,COLOMBIA,NO,NO,Plantel Oficial,340.053
594,INGENIERÍA BIOLÓGICA,15.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,20,4.0,3.7,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,450.749
595,GESTIÓN CULTURAL Y COMUNICATIVA,6.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,23,3.0,2.9,4,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,NO,NO,Plantel Oficial,380.266
596,GESTIÓN CULTURAL Y COMUNICATIVA,21.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,TARJETA IDENTIDAD,HOMBRE,19,4.0,4.3,20,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,509.979
597,GEOGRAFÍA,22.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,4.2,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,442.328
598,GEOGRAFÍA,17.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,23,4.0,3.7,5,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,337.084
599,BIOLOGÍA,17.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,3.8,38,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,432.391
600,BIOLOGÍA,7.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,TARJETA IDENTIDAD,HOMBRE,19,4.0,3.2,2,1,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,397.18
601,GEOGRAFÍA,24.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,TARJETA IDENTIDAD,HOMBRE,18,4.0,4.4,2,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,400.96
602,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,MUJER,19,2.0,4.5,3,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,564.394
603,GEOGRAFÍA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,HOMBRE,24,3.0,3.5,6,2,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Privado,486.808
604,GESTIÓN CULTURAL Y COMUNICATIVA,10.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PAES - INDÍGENA,2023-1S,TARJETA IDENTIDAD,MUJER,17,3.0,4.2,10,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,475.344
605,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PAES - INDÍGENA,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,4.1,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,484.198
606,INGENIERÍA BIOLÓGICA,13.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,4.3,3,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,SI,NO,Plantel Oficial,477.117
607,GESTIÓN CULTURAL Y COMUNICATIVA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,18,3.0,3.4,37,2,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,436.538
608,GEOGRAFÍA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,HOMBRE,30,3.0,3.9,4,2,LA PAZ,LA GUAJIRA,MAICAO,COLOMBIA,SI,NO,Plantel Oficial,482.35
609,GEOGRAFÍA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,4.1,2,1,VALLEDUPAR,MAGDALENA,EL BANCO,COLOMBIA,SI,NO,Plantel Oficial,468.505
610,GESTIÓN CULTURAL Y COMUNICATIVA,10.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,MUJER,19,3.0,3.9,1,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,466.546
611,BIOLOGÍA,8.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.0,20,2,VALLEDUPAR,MAGDALENA,SANTA MARTA,COLOMBIA,NO,NO,Plantel Privado,591.178
612,ESTADÍSTICA,8.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,20,3.0,4.4,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,465.886
613,GESTIÓN CULTURAL Y COMUNICATIVA,12.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,MUJER,21,3.0,4.1,17,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,430.542
614,GEOGRAFÍA,5.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,MUJER,19,2.0,4.2,3,1,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,497.055
615,GEOGRAFÍA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,MUJER,17,3.0,3.9,2,1,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,420.568
616,BIOLOGÍA,10.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.9,3,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,517.614
617,ESTADÍSTICA,9.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.6,6,1,,CESAR,SAN DIEGO,COLOMBIA,SI,NO,Plantel Oficial,462.897
618,BIOLOGÍA,8.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,4.4,46,2,VALLEDUPAR,NARIÑO,PASTO,COLOMBIA,NO,NO,Plantel Privado,586.701
619,INGENIERÍA BIOLÓGICA,9.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,3.4,10,2,VALLEDUPAR,MAGDALENA,SANTA MARTA,COLOMBIA,NO,NO,Plantel Oficial,565.061
620,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,3.6,51,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,579.197
621,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,MUJER,17,3.0,3.7,5,0,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,484.551
622,BIOLOGÍA,7.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,19,3.0,3.9,3,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,521.121
623,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.0,22,1,SAN DIEGO,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,491.093
624,GESTIÓN CULTURAL Y COMUNICATIVA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,13,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,414.871
625,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,"PAES - POBLACION NEGRA, AFROCOLOMBIANA, PALENQUERA Y RAIZAL",2024-1S,TARJETA IDENTIDAD,HOMBRE,16,,,24,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,532.553
626,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,53,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,335.134
627,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,HOMBRE,16,,,41,2,,CESAR,PUEBLO BELLO,COLOMBIA,SI,NO,Plantel Oficial,544.258
628,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,MUJER,17,,,3,1,,MAGDALENA,PUEBLOVIEJO,COLOMBIA,NO,NO,Plantel Oficial,386.404
629,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,MUJER,20,,,34,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,SI,NO,Plantel Oficial,372.849
630,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.5,3,1,,,,VENEZUELA,NO,NO,Plantel Oficial,476.914
631,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.1,14,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,436.64
632,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PAES - INDÍGENA,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,3.8,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,447.293
633,ESTADÍSTICA,3.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,3.7,2,1,,LA GUAJIRA,LA JAGUA DEL PILAR,COLOMBIA,NO,NO,Plantel Oficial,321.398
634,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.1,2,1,EL PASO,CESAR,ASTREA,COLOMBIA,NO,NO,Plantel Oficial,366.623
635,GESTIÓN CULTURAL Y COMUNICATIVA,4.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,NUMERO DE CEDULA,MUJER,19,2.0,4.2,2,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,SI,NO,Plantel Oficial,376.115
636,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,NUMERO DE CEDULA,MUJER,24,2.0,3.9,2,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,423.865
637,GESTIÓN CULTURAL Y COMUNICATIVA,4.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,3.7,2,1,,LA GUAJIRA,MAICAO,COLOMBIA,NO,NO,Plantel Oficial,513.965
638,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,NUMERO DE CEDULA,HOMBRE,18,2.0,4.1,1,1,,CESAR,SAN DIEGO,COLOMBIA,SI,NO,Plantel Oficial,376.955
639,GEOGRAFÍA,5.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,CEDULA EXTRANJERIA,HOMBRE,19,2.0,4.1,2,1,,,,VENEZUELA,NO,NO,Plantel Oficial,430.372
640,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,NUMERO DE CEDULA,HOMBRE,19,2.0,3.5,6,1,,CESAR,MANAURE BALCÓN DEL CESAR,COLOMBIA,SI,NO,Plantel Oficial,363.732
641,BIOLOGÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,HOMBRE,22,,,38,1,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,453.457
642,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.7,34,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,705.514
643,INGENIERÍA MECATRÓNICA,3.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,3.9,11,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,543.384
